name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
闊劍,ブロードソード,,5,,,軽くて扱いやすい剣。初心者におすすめ。とても使いやすいため、包丁の代わりに使う人もいる。,4,鐵,,,,,,630,60
礦石劍,スティールソード,,10,,,鉄を使ってできた片手剣。刀身が長めに作られている。長くなった分だけ、遠くのものを取るのが便利になった。,8,長劍,鐵,鐵,,,,1010,210
礦石劍改,スティールソード改,,21,魔攻+5,,強さを求め、さらに強化した剣。刀身の色も変わり、新しい武器に生まれ変わった。,12,鐵劍,鐵,鐵,,,,2910,340
彎刀,カトラス,,32,,,古い海賊が使っていた剣。船乗りがお守り代わりに攜帯している。,16,長劍,銅,哥布林海盜的布,哥布林海盜的布,,,3560,480
不求人,まごの手,,27,魔攻+48,,背中がかゆいときに使う剣、……剣？ペチペチと叩くことで攻撃し、精神的ダメージも與え、気絶させやすくなる。,20,樹枝,,,,,,2000,30
水星劍,アクアソード,水,41,魔攻+24,,水の魔力を宿す剣。刀身は常にぬれている。,22,長劍,銅,哥布林海盜的布,,,,4700,590
風之劍,ウインドソード,風,56,魔攻+28,,風の魔力を宿す剣。一振りで風を起こすと言われている。,26,長劍,鐵,蝎子的鉗子,,,,8400,900
防禦之劍,ディフェンダー,,63,防+15,,盾と併用することを目的として作られた剣。攻撃をうまくかわせるようになっている。気絶しにくくなる。,29,長劍,銅,銅,,,,10040,1020
燃燒之劍,バーニングソード,火,78,魔攻+35,,刀身が赤く燃える剣。觸れるとヤケドするぜ、と剣から聞こえるようだ。,30,長劍,銀,生鏽的箭頭,火之結晶,,,12400,2500
大地劍,ガイアソード,地,80,魔攻+40,,大地の力を宿す剣。とても硬い素材でできていてちょっとやそっとじゃ欠けることはない。,31,長劍,銀,地之結晶,錘子的碎片,,,12900,2040
勺子,スプーン,,50,魔攻+98,,裝備すると、プリンが食べたくなる呪いがかかっていると言われる魔剣。,34,鐵,漂亮的蜘蛛絲,,,,,10140,440
紅櫻,紅桜,闇,89,,,紅く染められた呪われし刀。美しい名前とは裏腹に、剣には毒がぬってある。,36,長劍,銀,蘑菇孢子,蝎子的尾巴,蘑菇孢子,,15200,3300
幸運之劍,ラックブレード,,97,,容易使出會心一擊，容易令對方氣絕,持ち主に幸運を與える剣。ラックブレードを買った次の日に、くじが當たったという報告もある。クリティカルが出やすく、気絶もさせやすい。,41,長劍,金,蝎子的鉗子,豹爪,,,18990,3340
空舞之劍,エリアルブレード,風,115,魔攻+60,,風の魔力を宿す剣。魔力により通常の剣より軽く感じられる。,44,長劍,金,風之結晶,鳥之羽,,,23580,3650
太陽劍,サンスパーダ,火,126,魔攻+65,,太陽と同じ熱さを持つ剣。その熱は全てを灰にする、と言われているが、本當なら大変なので、きっとたとえ話。,48,長劍,鐵,金,射手的火藥,射手的火藥,,24520,4750
迪蘭達爾,デュランダル,,133,防+30,,刀身が青白く光る剣。流れるような美しいその形で見るものをとりこにし、その隙に攻撃できる。,51,長劍,白金,戰士之證,戰士之證,哥布林的繃帶,貍貓樹葉,27720,6120
格蘭蒂爾,グランテール,地,145,魔攻+70,,大地の力を宿す剣。とてつもなく丈夫で、剣先に大人が何人乗ろうとも、折れることはないという。,55,長劍,白金,戰士之證,戰士之證,,,35000,6900
蔬菜劍,ベジタブレード,地,0,魔攻+155,,何を思ったか、その手に握るのは野菜。思いっきり振ればちょっとはダメージになるだろうか。,58,胡蘿蔔,,,,,,30980,2260
致命之劍,スマッシュブレード,,148,,,急所に的確に攻撃できるよう、改良がほどこされた剣。突いてもよし、叩いてもよし、急所をどうするかは自由。,59,長劍,銀,銀,銀,,,35500,7000
混沌之劍,カオスブレード,闇,152,魔攻+75,附帶麻痹效果,カオスシールドと対をなす剣。魔の力が使い手を選び、持つに値しない使い手だと、剣から罵られる。マヒの効果がある。,61,長劍,蝎子的尾巴,金,植物莖,維京護肩,,36160,7100
死亡之劍,デスジュラード,水,157,魔攻+80,,剣の冷気が、空気中の水分を凍らせる力を持つ。シロップをかけて、食べようとした人もいたらしい。,65,長劍,白金,水之結晶,龜殼,龜殼,,43420,8290
星辰之劍,スターセイバー,風,172,魔攻+85,,流れ星のように華麗な奇跡で振ることができる片手剣。派手な衣裝を著て、人前で振るえば、君のトップスターだ。,68,長劍,白金,風之結晶,豹爪,鳥之羽,,48000,8500
奪魂者,ソウルイーター,,166,,,魂を喰らう魔剣。相手の生命力を奪う力がある。後になって返せと言われても、この剣は責任を負わない。,70,長劍,白金,綠寶石,植物根,幽浮霊的頭巾,,51200,8620
豪華之劍,ゴージャスソード,,187,,,とにかくゴージャスなソード。金ぴかではなく、雪のように白光するゴージャスさは、センスが伺える。,74,長劍,銀,銀,金,金,白金,60600,10000
蛇劍,スネークソード,,198,,,細かく分けた刃のパーツを、切れないよう固くつなぎ合わせた剣。獨特の形狀は、攻撃範囲が長く、非常に避けづらい。,77,長劍,金,植物根,維京護肩,絲綢,,99700,9110
災難之劍,レーヴァンテイン,火,221,魔攻+90,,高熱を帯びる片手剣。剣を持ったまま湖に飛び込み、その湖を、溫泉に変えたという伝説がある。,79,長劍,金,火之結晶,魔力結晶,魔力結晶,獅子的紅毛,163350,9920
龍劍,ドラグスレイヤー,,233,,,三頭のドラゴンをかたどった剣。少し目を離すと、三本の刃が言い爭いを始めるらしい。切れ味に影響はないので安心。,82,長劍,白金,豹爪,鬥牛之角,狼牙,,264900,10600
白金之劍,プラチナソード,,246,,,純度の高いプラチナで作られたかなりの耐久性を誇る剣。昔は持っているだけで、モテモテだった。,85,長劍,銀,白金,白金,昆蟲下顎,魔人之角,314400,12050
白金之劍改,プラチナソード改,,258,魔攻+30,,強さを求め、さらに強化した剣。プラチナの強度が増し、発色している。,88,白金之劍,銀,白金,白金,昆蟲下顎,魔人之角,489360,14820
隱形之劍,インビジブレード,,270,魔攻+160,攻擊距離長,君には見えるだろうか、その真実の刃が。,90,長劍,銅錘子,火之結晶,水之結晶,地之結晶,風之結晶,550000,18000
符文之劍,ルーンブレード,光,277,魔攻+180,,ルーンの力を司る寶剣。剣から放つ光は、影ができないと言われている。,92,長劍,白金,白金,白金,鑽石,妖精之粉,582260,22000
格拉迪烏斯,グラディウス,,284,魔攻+100,容易使出會心一擊，容易令對方氣絕,鍛錬に鍛錬を重ねあげ、研ぎ澄ました片手剣。剣を見ただけで、切傷を負ってしまうほど。クリティカルが出やすく、気絶もさせやすい。,95,長劍,龍牙,白金,鑽石,壞掉的柄,壞掉的柄,626500,32000
符文傳說,レジェンドオブルーン,,293,魔攻+200,,剣士の間では、もはや伝説とまで言われる片手剣。刀身にルーンを宿し、その軌跡は光り輝くという。,99,長劍,鑽石,鑽石,龍牙,龍牙,妖精之粉,846940,41410