name,jpName,skillLv,item1,item2,item3,item4,item5,item6,sp,buy,sell,notion
中和劑,中和剤,17,藍色妖姬,解毒草,,,,,田地凈化毒沼,3000G,880G,作物の品質を上げる薬。使用すると収穫時、作物のレベルを上げることができる。
中和劑,中和剤,29,解毒草,解毒草,解毒草,,,,田地凈化毒沼,3000G,880G,作物の品質を上げる薬。使用すると収穫時、作物のレベルを上げることができる。
回復瓶,回復のポット,4,藥草,藥草,,,,,HP+500,500G,100G,うす緑色の飲み薬。飲めば、HPが回復する。
回復瓶,回復のポット,14,托伊藥草,,,,,,HP+500,500G,100G,うす緑色の飲み薬。飲めば、HPが回復する。
智力補品,智力のサプリメント,45,白水晶,冰壁碎片,結實的藤,魔法師之粉,茄子,,智力最大值+1,70000G,500G,特殊な方法で作られた薬。智力の最大値を上げる効果がある。
智力補品,智力のサプリメント,59,白水晶,,,,,,智力最大值+1,70000G,500G,特殊な方法で作られた薬。智力の最大値を上げる効果がある。
神秘瓶,神秘のポット,40,藥草,藥草,青草,青草,,,HP+2000,3000G,800G,青色の飲み薬。飲めば、HPが回復する。
神秘瓶,神秘のポット,60,鐵千輪,,,,,,HP+2000,3000G,800G,青色の飲み薬。飲めば、HPが回復する。
無敵秘藥,無敵の秘薬,61,營養水,花紅葉,南瓜,金南瓜,,,解除所有異常狀態，HP回復+100%，RP回復+100%，HP上限+25%，RP上限+25%，力量+10%，體力+25%，智力+10%,136860G,45620G,無敵になれる薬！との觸れ込みだったがなかなかそうはいかなかった。全ての異常狀態が治り、さらに、高い抗力を発揮する。
無敵秘藥,無敵の秘薬,82,營養水,花紅葉,,,,,解除所有異常狀態，HP回復+100%，RP回復+100%，HP上限+25%，RP上限+25%，力量+10%，體力+25%，智力+10%,136860G,45620G,無敵になれる薬！との觸れ込みだったがなかなかそうはいかなかった。全ての異常狀態が治り、さらに、高い抗力を発揮する。
超營養水,超栄水,46,燈草,重口味調料,酸奶,奶酪,惡魔之血,咖喱粉,全部狀態異常解除，RP回復+75%，HP上限-90%，力量+50，體力+50，智力+50,50000G,250G,畑用の肥料を飲めるように改良した薬。もちろん身體にいいわけがないが、強くなれるという、一か八かの薬。全ての狀態異常を少し受けにくくなる。
超營養水,超栄水,66,花紅葉,,,,,,全部狀態異常解除，RP回復+75%，HP上限-90%，力量+50，體力+50，智力+50,50000G,250G,畑用の肥料を飲めるように改良した薬。もちろん身體にいいわけがないが、強くなれるという、一か八かの薬。全ての狀態異常を少し受けにくくなる。
治療瓶,いやしのポット,20,藥草,藥草,藥草,,,,HP+1000,1500G,400G,深緑色の飲み薬。飲めば、HPが回復する。
治療瓶,いやしのポット,40,樹形草,,,,,,HP+1000,1500G,400G,深緑色の飲み薬。飲めば、HPが回復する。
感冒藥,カゼグスリ,21,大蔥,青椒,綠草,太陽草,,,感冒狀態解除，HP+1000,1800G,500G,カゼをひいたら早めに対処。飲めばケミカルパワーでどんな風邪でもたちまち元気になる。しばらくの間、カゼに少しなりにくくなる。
感冒藥,カゼグスリ,27,野之花火,,,,,,感冒狀態解除，HP+1000,1800G,500G,カゼをひいたら早めに対処。飲めばケミカルパワーでどんな風邪でもたちまち元気になる。しばらくの間、カゼに少しなりにくくなる。
進化之綠,ぐんぐんグリーン,30,結實的藤,結實的藤,古代魚之骨,地之結晶,,,提升作物等級,3000G,880G,作物の品質を上げる薬。使用すると収穫時、作物のレベルを上げることができる。
蛋白質,ザ･プロテイン,43,赤水晶,貍貓樹葉,結實的藤,魔法師之粉,菠菜,,力量最大值+1,70000G,500G,特殊な方法で作られた薬。力量の最大値を上げる効果がある。
蛋白質,ザ･プロテイン,57,赤水晶,,,,,,力量最大值+1,70000G,500G,特殊な方法で作られた薬。力量の最大値を上げる効果がある。
解毒藥,サッパリポイズン,8,解毒草,解毒草,,,,,毒狀態解除，HP+300,600G,125G,草に比べて飲みやすくなった。飲むと毒が治り、しばらくの間毒を少し受けにくくなる。
解毒藥,サッパリポイズン,82,劇毒蒲公英,,,,,,毒狀態解除，HP+300,600G,125G,草に比べて飲みやすくなった。飲むと毒が治り、しばらくの間毒を少し受けにくくなる。
酸味料,サワードロップ,15,橘子,黃草,,,,,體力+4,240G,80G,葉っぱの酸味成分だけを集めた調味料。酸っぱいけど、なぜかさわやかな気分になれるすぐれもの。
甘甜粉,スイートパウダー,9,蘋果,蘋果,,,,,智力+4,300G,100G,葉っぱの甘み成分だけを集めた調味料。スイートハニーの集大成。
快速肥料,すばやくノビール,28,青草,青草,紅草,紅草,,,加快作物成長速度,2200G,500G,土に栄養をまき、成長速度を早める薬。作物が枯れにくくなる。効果はそれなり。
快速肥料,すばやくノビール,36,藍色妖姬,,,,,,加快作物成長速度,2200G,500G,土に栄養をまき、成長速度を早める薬。作物が枯れにくくなる。効果はそれなり。
符文秘藥,トロピカルーン,91,四葉草,四葉草,四葉草,野之花火,野之花火,蛋黃醬,等級+1,150000G,1000G,色々なものを詰め込んでできた薬。なんだかよくわからないけど、體が熱くなって、レベルがアップする。
符文秘藥,トロピカルーン,98,四葉草,,,,,,等級+1,150000G,1000G,色々なものを詰め込んでできた薬。なんだかよくわからないけど、體が熱くなって、レベルがアップする。
心靈飲料,ハートドリンク,41,綠水晶,龍骨,結實的藤,魔法師之粉,鐵千輪,,HP最大值+10,70000G,500G,特殊な方法で作られた薬。ＨＰの最大値を上げる効果がある。
心靈飲料,ハートドリンク,55,綠水晶,,,,,,HP最大值+10,70000G,500G,特殊な方法で作られた薬。ＨＰの最大値を上げる効果がある。
生命果凍/活力劑,バイタルグミ,48,青水晶,獅子的紅毛,獅子的藍毛,結實的藤,魔法師之粉,,體力最大值+1,70000G,500G,特殊な方法で作られた薬。體力の最大値を上げる効果がある。
生命果凍/活力劑,バイタルグミ,62,青水晶,,,,,,體力最大值+1,70000G,500G,特殊な方法で作られた薬。體力の最大値を上げる効果がある。
強烈肥料,はげしくノビール,42,黃草,黃草,紅草,紅草,,,加快作物成長速度,9800G,800G,土に栄養をまき、成長速度を早める薬。作物が枯れにくくなる。すさまじい効果がある。
強烈肥料,はげしくノビール,52,櫻花草,,,,,,加快作物成長速度,9800G,800G,土に栄養をまき、成長速度を早める薬。作物が枯れにくくなる。すさまじい効果がある。
重口味調料,ヘビースパイス,12,紅草,紅草,,,,,力量+4,30G,10G,葉っぱの辛味成分だけを集めた調味料。そのまま食べると、火を吐ける気になるぐらい辛い。
解封丸,ペラペラ丸,16,紫草,青草,,,,,封印狀態解除，HP+500,700G,150G,飲むと封印が治る薬。しばらくの間、封印を少し受けにくくなる。
解封丸,ペラペラ丸,76,燈草,,,,,,封印狀態解除，HP+500,700G,150G,飲むと封印が治る薬。しばらくの間、封印を少し受けにくくなる。
麻痹藥,マヒロン,14,黃草,黃草,,,,,麻痹狀態解除，HP+500,700G,150G,體のしびれを解消する薬。飲むとマヒが治り、しばらくの間マヒを少し受けにくくなる。
麻痹藥,マヒロン,31,粉色貓咪,,,,,,麻痹狀態解除，HP+500,700G,150G,體のしびれを解消する薬。飲むとマヒが治り、しばらくの間マヒを少し受けにくくなる。
混合香料,ミックスハーブ,35,月淚草,托伊藥草,粉色貓咪,藍色妖姬,,,RP上限+25%,8490G,2830G,畑で採れるハーブを集めて混ぜた調味料。とても香ばしい匂いがする。
好肥料,よくノビール,11,綠草,綠草,紅草,紅草,,,加快作物成長速度,600G,300G,土に栄養をまき、成長速度を早める薬。作物が少し枯れにくくなる。効果はそこそこ。
好肥料,よくノビール,22,月淚草,,,,,,加快作物成長速度,600G,300G,土に栄養をまき、成長速度を早める薬。作物が少し枯れにくくなる。効果はそこそこ。
愛情飲料,ラブ飲みドリンク,52,少女甜瓜,少女甜瓜,草莓,葡萄酒,蜂蜜,魔法師之粉,送禮提升對方好感度，RP回復+50%,50000G,500G,みんなが大好きなドリンク。渡したその時から、大好きなのはあなた。全ての狀態異常が治り、さらに、少し抗力を発揮する。
愛情飲料,ラブ飲みドリンク,73,金剛花,,,,,,送禮提升對方好感度，RP回復+50%,50000G,500G,みんなが大好きなドリンク。渡したその時から、大好きなのはあなた。全ての狀態異常が治り、さらに、少し抗力を発揮する。